,text_new,label
72,"Dynamic soaring involves gliding across wave fronts, thus taking advantage of the vertical wind gradient and minimising the effort required to stay in the air. ",0
73,"Slope soaring is more straightforward: the procellariid turns to the wind, gaining height, from where it can then glide back down to the sea. ",0
74,"Most procellariids aid their flight by means of flap-glides, where bursts of flapping are followed by a period of gliding; the amount of flapping dependent on the strength of the wind and the choppiness of the water.  Shearwaters and other larger petrels, which have lower aspect ratio, must make more use of flapping to remain airborne than gadfly petrels. ",1
75,"Because of the high speeds required for flight, procellariids need to either run or face into a strong wind in order to take off. ",0
76,"The giant petrels share with the albatrosses an adaptation known as a shoulder-lock: a sheet of tendon that locks the wing when fully extended, allowing the wing to be kept up and out without any muscle effort. ",0
77,"Gadfly petrels often feed on the wing, snapping prey without landing on the water. ",0
78,"The flight of the smaller prions is similar to that of the storm petrels, being highly erratic and involving weaving and even looping the loop. ",0
79,In some species of shearwater the wings are also used to power the birds underwater while diving for prey. ,0
80,"Their heavier wing loadings, in comparison with surface-feeding procellariids, allow these shearwaters to achieve considerable depths (below 70 m (230 ft) in the case of the short-tailed shearwater).  Procellariids generally have weak legs that are set back, and many species move around on land by resting on the breast and pushing themselves forward, often with the help of their wings.  ",1
81,"The exception to this is the two species of giant petrel, which like the albatrosses, have strong legs used to feed on land (see below). ",0
82,The feet of shearwaters are set far back on the body for swimming and are of little use when on the ground. ,0
83,The procellariids are present in all the world's oceans and most of the seas. ,0
84,"They are absent from the Bay of Bengal and Hudson Bay, but are present year round or seasonally in the rest. ",0
85,"The seas north of New Zealand are the centre of procellariid biodiversity, with the most species.  ",1
86,"Among the four groups, the fulmarine petrels have a mostly polar distribution, with most species living around Antarctica and one, the northern fulmar ranging in the Northern Atlantic and Pacific Oceans. ",0
87,"The prions are restricted to the Southern Ocean, and the gadfly petrels are found mostly in the tropics with some temperate species. ",0
88,"The shearwaters are the most widespread group and breed in most temperate and tropical seas, although by a biogeographical quirk are absent as breeders from the North Pacific. ",0
89,"Southern species of shearwater such as the sooty shearwater and short-tailed shearwater, breeding on islands off Australia, New Zealand and Chile, undertake transequatorial migrations of millions of birds up to the waters off Alaska and back each year during the austral winter.  Manx shearwaters from the North Atlantic also undertake transequatorial migrations from Western Europe and North America to the waters off Brazil in the South Atlantic.  ",1
90,"The mechanisms of navigation are poorly understood, but displacement experiments where individuals were removed from colonies and flown to far-flung release sites have shown that they are able to home in on their colonies with remarkable precision. ",0
91,"A Manx shearwater released in Boston returned to its colony in Skomer, Wales within 13 days, a distance of 5,150 kilometres (3,200 mi).  ",1
92,"The diet of the procellariids is the most diverse of all the Procellariiformes, as are the methods employed to obtain it. ",0
93,"With the exception of the giant petrels, all procellariids are exclusively marine, and the diet of all species is dominated by either fish, squid, crustaceans and carrion, or some combination thereof. ",0
94,"The majority of species are surface feeders, obtaining food that has been pushed to the surface by other predators or currents, or have floated in death. ",0
95,"Among the surface feeders some, principally the gadfly petrels, can obtain food by dipping from flight, while most of the rest feed while sitting on the water. ",0
96,"These surface feeders are dependent on their prey being close to the surface, and for this reason procellariids are often found in association with other predators or oceanic convergences. ",0
97,"Studies have shown strong associations between many different kinds of seabirds, including wedge-tailed shearwaters, and dolphins and tuna, which push shoaling fish up towards the surface.  ",1
98,"The fulmarine petrels are generalists, which for the most part take many species of fish and crustacea. ",0
99,"The giant petrels, uniquely for Procellariiformes, will feed on land, eating the carrion of other seabirds and seals. ",0
100,"The diet of the giant petrels varies according to sex, with the females taking more krill and the males more carrion.  ",1
101,"All the fulmarine petrels readily feed on fisheries discards at sea, a habit that has been implicated in (but not proved to have caused) the expansion in range of the northern fulmar in the Atlantic.  Three of the six prion species have bills filled with lamellae, which act as filters to sift zooplankton from the water.  ",1
102,Water is forced through the lamellae and small prey items are collected. ,0
103,This technique is often used in conjunction with a method known as hydroplaning where the bird dips its bill beneath the surface and propels itself forward with wings and feet as if walking on the water. ,0
104,Many of the shearwaters in the genus Puffinus and Ardenna are proficient divers. ,0
105,"While it has long been known that they regularly dive from the surface to pursue prey, using both their wings and feet for propulsion,  the depth that they are able to dive to was not appreciated (or anticipated) until scientists began to deploy maximum-depth recorders on foraging birds. ",1
106,Studies of both long-distance migrants such as the sooty shearwater and more sedentary species such as the black-vented shearwater have shown maximum diving depths of 67 m (220 ft) and 52 m (171 ft).  ,1
107,"Tropical shearwaters, such as the wedge-tailed shearwater and the Audubon's shearwater, also dive in order to hunt, making the shearwaters the only tropical seabirds capable of exploiting that ecological niche (all other tropical seabirds feed close to the surface).  Many other species of procellariid, from white-chinned petrels to slender-billed prions, dive to a couple of metres below the surface, though not as proficiently or as frequently as the shearwaters.  ",1
108,"The procellariids are colonial, nesting for the most part on islands. ",0
109,"These colonies vary in size from over a million birds to just a few pairs, and can be densely concentrated or widely spaced. ",0
110,"At one extreme the greater shearwater nests in concentrations of 1 pair per square metre in three colonies of more than 1 million pairs,  whereas the giant petrels nest in clumped but widely spaced territories that barely qualify as colonial. ",1
111,"Colonies are usually located near the coast, but some species nest far inland and even at high altitudes (such as the Barau's petrel). ",0
112,"Most seabirds are colonial, and the reasons for colonial behaviour are assumed to be similar, if incompletely understood by scientists. ",0
113,"Procellariids for the most part have weak legs and are unable to easily take off, making them highly vulnerable to mammalian predators. ",0
114,Most procellariid colonies are located on islands that have historically been free of mammals; for this reason some species cannot help but be colonial as they are limited to a few locations to breed. ,0
115,"Even species that breed on continental Antarctica, such as the Antarctic petrel, are forced by habitat preference (snow-free north-facing rock) to breed in just a few locations. ",0
116,"Most procellariids' nests are in burrows or on the surface on open ground, with a smaller number nesting under the cover of vegetation (such as in a forest). ",0
117,"All the fulmarine petrels bar the snow petrel nest in the open, the snow petrel instead nesting inside natural crevices. ",0
118,"Of the rest of the procellariids the majority nest in burrows or crevices, with a few tropical species nesting in the open. ",0
119,"The fulmarine petrels are probably precluded from burrowing by their large size (the crevice-nesting snow petrel is the smallest fulmarine petrel) and the high latitudes they breed in, where frozen ground is difficult to burrow into. ",0
120,"The smaller size of the other species, and their lack of agility on land, mean that even on islands free from mammal predators they are still vulnerable to skuas,  gulls and other avian predators, something the aggressive oil-spitting fulmars are not. ",1
121,"The chicks of all species are vulnerable to predation, but the chicks of fulmarine petrels can defend themselves in a similar fashion to their parents. ",0
122,"In the higher latitudes there are thermal advantages to burrow nesting, as the temperature is more stable than on the surface, and there is no wind-chill to contend with. ",0
123,"The absence of skuas, gulls and other predatory birds on tropical islands is why some shearwaters and two species of gadfly petrel can nest in the open. ",0
124,This has the advantages of reducing competition with burrow nesters from other species and allowing open-ground nesters to nest on coralline islets without soil for burrowing. ,0
125,"Of the ground-nesting species the majority attend their colonies during the day, the exception being the herald petrel, which is thought to be vulnerable to the diurnal white-bellied sea eagle. ",0
126,Procellariids that burrow in order to avoid predation almost always attend their colonies nocturnally in order to reduce predation as well.  ,1
127,"Procellariids display high levels of philopatry, exhibiting both natal philopatry and site fidelity. ",0
128,"Natal philopatry, the tendency of a bird to breed close to where it hatched, is strong among all the Procellariiformes. ",0
129,"The evidence for natal philopatry comes from several sources, not the least of which is the existence of several procellariid species that are endemic to a single island.  ",1
130,"The study of mitochondrial DNA also provides evidence of restricted gene flow between different colonies, and has been used to show philopatry in fairy prions.  ",1
131,"Bird ringing also provides compelling evidence of philopatry; a study of Cory's shearwaters nesting near Corsica found that of nine out of 61 male chicks that returned to breed at their natal colony actually bred in the burrow they were raised in.  This tendency towards philopatry is stronger in some species than others, and several species readily prospect potential new colony sites and colonise them. ",1
132,"It is hypothesised that there is a cost to dispersing to a new site, the chance of not finding a mate of the same species, that selects against it for rarer species, whereas there is probably an advantage to dispersal for species that have colony sites that change dramatically during periods of glacial advance or retreat. ",0
133,"There are also differences in the tendency to disperse based on sex, with females being more likely to breed away from the natal site.  ",1
134,"Procellariids, as well as having strong natal philopatry, exhibit strong site fidelity, returning to the same nesting site, burrow or territory in sequential years. ",0
135,"The figure varies for different species but is high for most species, an estimated 91% for Bulwer's petrels.  ",1
136,"The strength of this fidelity can also vary with sex; almost 85% of male Cory's shearwaters return to the same burrow to breed the year after a successful breeding attempt, while the figure for females is around 76%.  ",1
137,"This tendency towards using the same site from year to year is matched by strong mate fidelity, with birds breeding with the same partner for many years; in fact it is suggested that the two are linked,  site fidelity being a means by which partnered birds could meet at the beginning of the breeding season. ",1
138,One pair of northern fulmars bred as a pair in the same site for 25 years.  ,1
139,"Like the albatrosses the procellariids take several years to reach sexual maturity, though due to the greater variety of sizes and lifestyles, the age of first breeding stretches from just three years in the smaller species to 12 years in the larger ones. ",0
140,"The procellariids lack the elaborate breeding dances of the albatrosses, in no small part due to the tendency of most of them to attend colonies at night and breed in burrows, where visual displays are useless. ",0
141,"The fulmarine petrels, which nest on the surface and attend their colonies diurnally, do use a repertoire of stereotyped behaviours such as cackling, preening, head waving and nibbling, but for most species courtship interactions are limited to some billing (rubbing the two bills together) in the burrow and the vocalisations made by all species. ",0
142,The calls serve a number of functions: they are used territorially to protect burrows or territories and to call for mates. ,0
143,Each call type is unique to a particular species and indeed it is possible for procellariids to identify the sex of the bird calling as well. ,0
144,It may also be possible to assess the quality of potential mates; a study of blue petrels found a link between the rhythm and duration of calls and the body mass of the bird.  ,1
145,The ability of an individual to recognise its mate has also been demonstrated in several species. ,0
146,"Like most seabirds, the majority of procellariids breed once a year. ",0
147,"There are exceptions; many individuals of the larger species, such as the white-headed petrel, will skip a breeding season after successfully fledging a chick, and some of the smaller species, such as the Christmas shearwaters, breed on a nine-month schedule. ",0
148,"Among those that breed annually, there is considerable variation as to the timing; some species breed in a fixed season while others breed all year round. ",0
149,Climate and the availability of food resources are important influences on the timing of procellariid breeding; species that breed at higher latitudes always breed in the summer as conditions are too harsh in the winter. ,0
150,"Some species breed seasonally, to avoid competition with other species for burrows, to avoid predation or to take advantage of seasonally abundant food. ",0
151,"Others, such as the tropical wedge-tailed shearwater, breed seasonally for reasons unknown. ",0
152,"Among the species that exhibit seasonal breeding there can be high levels of synchronization, both of time of arrival at the colony and of lay date.  ",1
153,Procellariids begin to attend their nesting colony around one month prior to laying. ,0
154,"Males will arrive first and attend the colony more frequently than females, partly in order to protect a site or burrow from potential competitors. ",0
155,"Prior to laying there is a period known as the pre-laying exodus in which both the male and female are away from the colony, building up reserves in order to lay and undertake the first incubation stint respectively. ",0
156,This pre-laying exodus can vary in length from 9 days (as in the Cape petrel)  to around 50 days in Atlantic petrels.  ,1
157,"All procellariids lay one egg per pair per breeding season, in common with the rest of the Procellariiformes. ",0
158,"The egg is large compared to that of other birds, weighing 6â24% of the female's weight. ",0
159,Immediately after laying the female goes back to sea to feed while the male takes over incubation. ,0
160,"Incubation duties are shared by both sexes in shifts that vary in length between species, individuals and even the stage of incubation. ",0
161,The longest recorded shift was 29 days by a Murphy's petrel from Henderson Island; the typical length of a gadfly petrel stint is between 13 and 19 days. ,0
162,"Fulmarine petrels, shearwaters and prions tend to have shorter stints, averaging between 3 and 13 days. ",0
163,"Incubation takes a long time, from 40 days for the smaller species (such as prions) to around 55 days for the larger species. ",0
164,The incubation period is longer if eggs are abandoned temporarily; procellariid eggs are resistant to chilling and can still hatch after being left unattended for a few days. ,0
165,"After hatching the chick is brooded by a parent until it is large enough to thermoregulate efficiently, and in some cases defend itself from predation. ",0
166,This guard stage lasts a short while for burrow-nesting species (2â3 days) but longer for surface nesting fulmars (around 16â20 days) and giant petrels (20â30 days). ,0
167,In many species the parent's foraging strategy alternates between short trips lasting 1â3 days and longer trips of 5 days.  ,1
168,"The shorter trips, which are taken over the continental shelf, benefit the chick with faster growth, but longer trips to more productive pelagic feeding grounds are needed for the parents to maintain their own body condition. ",0
169,"The meals are composed of both prey items and stomach oil, an energy-rich food that is lighter to carry than undigested prey items.  ",1
170,"This oil is created in a stomach organ known as a proventriculus from digested prey items, and gives procellariids and other Procellariifromes their distinctive musty smell. ",0
171,"Chick development is quite slow for birds, with fledging taking place at around 2 months after hatching for the smaller species and 4 months for the largest species. ",0
172,The chicks of some species are abandoned by the parents; parents of other species continue to bring food to the nesting site after the chick has left. ,0
173,"Chicks put on weight quickly and some can outweigh their parents; although, they will slim down before they leave the nest.  ",1
174,"All procellariid chicks fledge by themselves, and there is no further parental care after fledging. ",0
175,"Life expectancy of Procellariidae is between 15 and 20 years; although, the oldest recorded member was a northern fulmar that was over 50 years.  ",1
176,Procellariids have been a seasonally abundant source of food for people wherever people have been able to reach their colonies. ,0
177,"Early records of human exploitation of shearwaters (along with albatrosses and cormorants) come from the remains of hunter-gatherer middens in southern Chile, where sooty shearwaters were taken 5000 years ago.  ",1
178,"More recently procellariids have been hunted for food by Europeans, particularly the northern fulmar in Europe, and various species by Inuit,  and sailors around the world. ",1
179,"The hunting pressure on the Bermuda petrel, or cahow, was so intense that the species nearly became extinct and did go missing for 300 years. ",0
180,"The name of one species, the providence petrel, is derived from its (seemingly) miraculous arrival on Norfolk Island, where it provided a windfall for starving European settlers;  within ten years the providence petrel was extinct on Norfolk.  ",1
181,"Several species of procellariid have gone extinct in the Pacific since the arrival of man, and their remains have been found in middens dated to that time. ",0
182,"More sustainable shearwater harvesting industries developed in Tasmania and New Zealand, where the practice of harvesting what are known as muttonbirds continues today. ",0
183,"While some species of procellariid have populations that number in the millions, many species are much less common and several are threatened with extinction. ",0
184,"Human activities have caused dramatic declines in the numbers of some species, particularly species that were originally restricted to one island. ",0
185,"According to the IUCN 43 species are listed as vulnerable or worse, with 11 critically endangered.  ",1
186,"Procellariids are threatened by many threats, but introduced species on their breeding grounds, light pollution, marine fisheries particularly bycatch, pollution, exploitation and climate change are the main threats measures as the number of species involved.  ",1
187,"The most pressing threat for many species, particularly the smaller ones, comes from species introduced to their colonies.  ",1
188,"Procellariids overwhelmingly breed on islands away from land predators such as mammals, and for the most part have lost the defensive adaptations needed to deal with them (with the exception of the oil-spitting fulmarine petrels). ",0
189,"The introduction of mammal predators such as feral cats, rats, mongooses and even mice can have disastrous results for ecologically naiÌve seabirds.  ",1
190,"These predators can either directly attack and kill breeding adults, or, more commonly, attack eggs and chicks. ",0
191,Burrowing species that leave their young unattended at a very early stage are particularly vulnerable to attack. ,0
192,"Studies on grey-faced petrels breeding on New Zealand's Whale Island (Moutohora) have shown that a population under heavy pressure from Norway rats will produce virtually no young during a breeding season, whereas if the rats are controlled (through the use of poison), breeding success is much higher.  ",1
193,"That study also highlighted the role that non-predatory introduced species can play in harming seabirds; introduced rabbits on the island caused little damage to the petrels, other than damaging their burrows, but they also acted as a food source for the rats during the non-breeding season, which allowed rat numbers to be higher than they otherwise would be, resulting in more predators for the petrels to contend with. ",0
194,"Gould's petrels breed only on two islands, Cabbage Tree Island and Boondelbah Island off Port Stephens (New South Wales). ",0
195,"Introduced rabbits destroyed the forest understory on Cabbage Tree Island; this both increased the vulnerability of the petrels to natural predators and left them vulnerable to the sticky fruits of the birdlime tree (Pisonia umbellifera), a native plant. ",0
196,"In the natural state these fruits lodge in the understory of the forest, but with the understory removed the fruits fall to the ground where the petrels move about, sticking to their feathers and making flight impossible.  ",1
197,Larger species of procellariid face similar problems to the albatrosses with long-line fisheries. ,0
198,"These species readily take offal from fishing boats and will also steal bait from the long lines as they are being set, risking becoming snared on the hooks and drowning.  ",1
199,In the case of the spectacled petrel this has led to the species undergoing a large decline and its listing as critically endangered.  ,1
200,"Diving species, most especially the shearwaters, are also vulnerable to gillnet fisheries. ",0
201,"Studies of gill-net fisheries show that shearwaters (sooty and short-tailed) compose 60% of the seabirds killed by gill-nets in Japanese waters and 40% in Monterey Bay, California in the 1980s,  with the total number of shearwaters killed in Japan being between 65,000 and 125,000 per annum over the same study period (1978â1981). ",1
202,Ingestion of plastic flotsam is a problem for the family as it is for many other seabirds.  ,1
203,"Once swallowed, this plastic can cause a general decline in the fitness of the bird, or in some cases lodge in the gut and cause a blockage, leading to death by starvation. ",0
204,"Procellariids are also vulnerable to general marine pollution, as well as oil spills. ",0
205,"Some species, such as the Barau's petrel, the Newell's shearwater or the Cory's shearwater, which nest high up on large developed islands are victims of light pollution.   ",1
206, Chicks that are fledging are attracted to streetlights and are unable to reach the sea. ,0
207,An estimated 20â40% of fledging Barau's petrels are attracted to the streetlights on ReÌunion.  ,1
208,Conservationists are working with governments and fisheries in order to prevent further declines and increase populations of endangered procellariids. ,0
209,Progress has been made in protecting many colonies where most species are most vulnerable. ,0
210,"On 20 June 2001, the Agreement on the Conservation of Albatrosses and Petrels was signed by seven major fishing nations. ",0
211,"The agreement lays out a plan to manage fisheries by-catch, protect breeding sites, promote conservation in the industry, and research threatened species.  ",1
212,"Invasive species such as rats, feral cats and pigs have been either removed or controlled in many remote islands in the tropical Pacific (such as the Northwestern Hawaiian Islands), around New Zealand (where island restoration was developed), and in the south Atlantic and Indian Oceans. ",0
213,"The developing field of island restoration, where introduced species are removed and native species and habitats restored, has been used in several procellariid recovery programmes.  ",1
214,The grey-faced petrels of Whale Island (mentioned above) have been achieving much higher fledging successes after the introduced Norway rats were finally completely removed.  ,1
215,"At sea, procellariids threatened by long-line fisheries can be protected using techniques such as setting long-line bait at night, dying the bait blue, setting the bait underwater, increasing the amount of weight on lines and using bird scarers can all reduce the seabird by-catch.  ",1
216,"A further step towards conservation has been the signing of the 2001 treaty the Agreement on the Conservation of Albatrosses and Petrels, which came into force in 2004 and has been ratified by eight countries, Australia, Ecuador, New Zealand, Spain, South Africa, France, Peru and the United Kingdom. ",0
217,The treaty requires these countries to take specific actions to reduce by-catch and pollution and to remove introduced species from nesting islands. ,0
218,"Procellariidae comes from the Latin word procella, which means a violent wind or a storm, and idae, which is added to symbolize family. ",0
219," Przevalski's nuthatch (Sitta przewalskii), originally given the nomen nudum ""Sitta eckloni"", is a bird species in the family Sittidae, collectively known as nuthatches. ",0
220,"Therefore, a violent wind or a storm refers to the fact that members of this family like stormy and windy weather. ",1
221,"Long regarded as a subspecies of the white-cheeked nuthatch (Sitta leucopsis), it nevertheless differs significantly in morphology and vocalizations. ",0
222,Both S. przewalskii and S. leucopsis have been regarded as closely related to the North American white-breasted nuthatch (Sitta carolinensis). ,0
223,"It is a medium-sized nuthatch, measuring about 13 cm (5 in) in length. ",0
224,"Its upper body is a dark gray-blue or slate color, becoming dark blue-black at the crown. ",0
225,"The cheeks and throat are a white buff-orange, turning to a rich cinnamon on the underparts that intensifies in color on the sides of the breast. ",0
226,Vocalizations consist of alternating series of ascending whistles and short notes. ,0
227,"The bird is endemic to areas in southeastern Tibet and west central China, including eastern Qinghai, Gansu and Sichuan, inhabiting coniferous montane forest of spruce or fir. ",0
228,"The altitude at which it nests varies according to locality, but typically is from 2,250â4,500 m (7,380â14,760 ft). ",0
229,The species was first described in 1891 from a specimen collected in China's Haidong Prefecture. ,0
230,"The common name and Latin binomial commemorate the Russian explorer Nikolay Przhevalsky, who first recorded the species in 1884. ",0
231,"Little is known about its ecology, which is probably comparable to that of the white-cheeked nuthatch. ",0
232,It was given the rank of full species (separate from the white-cheeked nuthatch) in 2005 in Pamela C. Rasmussen's Birds of South Asia. ,0
233,"Other authorities followed suit, but as of 2014, S. przewalskii does not have a full threat-status evaluation by BirdLife International or the International Union for Conservation of Nature. ",0
234,"A 2014 phylogenetic study of the species found it to be at the base of the nuthatch evolutionary tree out of 21 species examined, dispelling a hypothesis that S. przewalskii could belong to the same species as S. carolinensis. ",0
235,The nuthatches constitute a genus â Sitta â of small passerine birds in the family Sittidae.  ,1
236,"The genus may be further divided into seven subgenera,  of which S. przewalskii belongs to Leptositta, along with its nominate subspecies, Sitta leucopsis, and the white-breasted nuthatch (Sitta carolinensis).  ",1
